Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Sssmile Afterhour,2025-05-22T00:00:00.000,2025-05-22T06:30:00.000,2025-05-22T13:00:00.000,"Andi Beat, The Shredder",Prisma,/events/2160367,2
Listening Session,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-22T22:00:00.000,,"TBA - St. Oberholz, Oranienstraße 10-11, 10997 Berlin, Germany",/events/2167091,2
Studio X with Sesto Senso ALL NIGHT LONG,2025-05-22T00:00:00.000,2025-05-22T22:30:00.000,2025-05-23T05:00:00.000,"Franz Scala, Fabrizio Mammarella",Sameheads,/events/2170517,4
Tausend ELECTRONICA - LAURITZ F,2025-05-22T00:00:00.000,2025-05-22T22:00:00.000,2025-05-23T03:00:00.000,,Tausend,/events/2158781,1
It Only Takes One Flame To Start A Fire,2025-05-22T00:00:00.000,2025-05-22T19:30:00.000,2025-05-22T22:30:00.000,,Neue Zukunft,/events/2165064,1
SUB_BAR: Beyond listening: the revolution is touch,2025-05-22T00:00:00.000,2025-05-22T10:00:00.000,2025-05-22T15:00:00.000,,Illuseum,/events/2166843,1
Donnerdogge,2025-05-22T00:00:00.000,2025-05-22T23:59:00.000,2025-05-23T12:00:00.000,"Yuli Romano, Tom Ginzburg, Nils Ohrmann",Golden Gate,/events/2168119,1
Naked Grapes with Llupe,2025-05-22T00:00:00.000,2025-05-22T20:00:00.000,2025-05-22T23:00:00.000,Llupe,Orangerie Neukölln,/events/2169123,1
"WE KÜYEN w. Lisa Thaens b2b Like Lava, Sontag live, Ativ Aras b2b AP Solis, LFKN b2b Konrad:ioo",2025-05-22T00:00:00.000,2025-05-22T16:00:00.000,2025-05-23T01:00:00.000,Lisa Thaens,Klunkerkranich,/events/2172239,1
Groovy Golden Hour with Simon C. & Concentio,2025-05-22T00:00:00.000,2025-05-22T18:00:00.000,2025-05-23T00:00:00.000,"Simon C., Concentio",Glasweise,/events/2174075,2
Laguna Fortuna,2025-05-22T00:00:00.000,2025-05-22T19:00:00.000,2025-05-23T02:00:00.000,Reuse,Humboldthain Club,/events/2174308,0
FACE 2 FACE - BERLIN (KUKO ANL),2025-05-23T00:00:00.000,2025-05-23T23:00:00.000,2025-05-24T06:00:00.000,"KUKO, Adrian Mills, Cloudy, Serafina",OST,/events/2155730,543
"BLUR by HIVE w / Afem Syko, ALT8, davyboi, B2, SZG, Hurts",2025-05-23T00:00:00.000,2025-05-23T23:00:00.000,2025-05-24T09:00:00.000,"3LEEZA, Afem Syko, ALT8, B2 (1), davyboi, DJ Sweedee, Gusted, Hurts, SZG, XIMA, YËDM",DSTRKT (former Anomalie),/events/2085071,324
Miss Bashful's Baddie Ball ,2025-05-23T00:00:00.000,2025-05-23T21:30:00.000,2025-05-23T23:59:00.000,"Miss Bashful, DBBD",Kesselhaus,/events/2130309,267
"Else x OPUS: Matrixxman x Laure Croft, Phil Berg x Lobster, Lea Occhi + more  ",2025-05-23T00:00:00.000,2025-05-23T17:00:00.000,2025-05-24T06:00:00.000,"Danté, Delano Legito, JERM, Laure Croft, Lea Occhi, Matrixxman, Phil Berg, Sept",Else,/events/2133880,271
SENSUS X Lange Nacht der Wissenschaft,2025-05-23T00:00:00.000,2025-05-23T23:00:00.000,2025-05-24T09:00:00.000,"Julian Muller, Maara, Spacer Woman, PAU (6), DJ SPORTSCHUH, Pavelo Promillo, Lenny Fuck, Multifun, Bamela Paywatch, DJ-Ween, S.3000",MUENZE,/events/2131403,268
"Soul Feeder with Dinamarca, User2222, 3DMA, Sodomland, Vyper, futurristic DJ GHEPARD ",2025-05-23T00:00:00.000,2025-05-23T23:59:00.000,2025-05-24T08:00:00.000,"3DMA, Dinamarca, DJ GHEPARD, DJ Hristos, futurristic, gmaail, kiirm, Sodomland, User2222, Vyper",OXI,/events/2122129,222
